Name,SMILES,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Danoprevir,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4Cc5cccc(F)c5C4)C(=O)NS(=O)(=O)C6CC6,0.22,11.53,0.02,0.32,1.81,731.83,14,3,180.5,7,anionic,4.4,1.4
Dantrolene,O=C1CN(\N=C\c2oc(cc2)c3ccc(cc3)N(=O)=O)C(=O)N1,0.37,0.43,,14,10,314.25,9,1,121,4,anionic,1.4,1
Danusertib,N(C(=O)C(=CC=C1N(CCN2C)CC2)C=C1)C(C(=C1C2)CN2C([C@H](OC)C(=CC=C2)C=C2)=O)=NN1,2.5,6.1,,6.8,25,474.55,9,2,93.8,6,cationic,1.6,0.62
Dapagliflozin,[C@H]1([C@H]([C@@H]([C@H](C(O1)c1ccc(c(c1)Cc1ccc(cc1)OCC)Cl)O)O)O)CO,1.7,3,0.09,9.5,12.2,408.87,6,4,99.4,6,neutral,2.3,2.3
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,0.83,0.48,0.25,29,22,248.3,4,2,86.2,2,neutral,0.97,0.97
Daptomycin,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@@H](C)OC(=O)[C@H](CC(=O)c4ccccc4N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](C)NC(=O)C(CC(=O)O)NC(=O)[C@H](CCCN)NC(=O)CNC3=O)[C@H](C)CC(=O)O,0.088,0.16,0.083,9.2,8.1,1620.67,43,22,702,35,anionic,-6.4,-9
Darapladib,c1(ccc(cc1)CSc1nc(=O)c2c(n1CC(=O)N(CCN(CC)CC)Cc1ccc(cc1)c1ccc(cc1)C(F)(F)F)CCC2)F,11.9,4.11,,48.1,40.9,666.77,6,0,58.4,13,cationic,6.5,5.1
Darifenacin,NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5,2.6,12,0.02,3.6,3.6,426.55,4,1,55.6,7,cationic,3.8,2.5
Darunavir,CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,,7.81,0.05,,15,547.66,10,3,140.4,12,neutral,2.8,2.8
Dasabuvir,CC(C)(C)c1cc(cc(c1OC)c2ccc3cc(ccc3c2)NS(=O)(=O)C)n4ccc(=O)[nH]c4=O,2.13,,0.005,,5.7,493.57,8,2,110.3,5,neutral,4.3,0.75
Daunorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)C)O)N)O,32.05,47.57,0.06,11.23,14.24,527.52,11,5,185.8,4,cationic,1,-1.6
Deacetyl metipranolol,c1(c(c(c(cc1C)OC[C@@H](CNC(C)C)O)C)C)O,3.6,16.2,,3.7,3.1,267.36,4,3,61.7,6,cationic,2.6,0.77
Decitabine,NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2,4.6,130,1,0.59,0.58,228.21,8,3,120.7,2,neutral,-2,-2
Deferasirox,[H]OC(c1ccc(cc1)n1c(c2ccccc2O[H])nc(c2ccccc2O[H])n1)=O,0.2,0.84,0.004,4.07,4.05,373.36,7,3,108.5,7,anionic,4.5,1.3
Deferolimus,C1CCN2[C@@H](C1)C(=O)O[C@@H](CC(=O)[C@@H](C=C([C@H]([C@H](C(=O)[C@@H](C[C@@H](C=CC=CC=C([C@H](C[C@@H]1CC[C@H]([C@](C(=O)C2=O)(O1)O)C)OC)C)C)C)OC)O)C)C)[C@H](C)C[C@@H]1CC[C@H]([C@@H](C1)OC)OP(=O)(C)C,3.2,1.1,,48.5,46.3,990.21,15,2,201.5,8,neutral,6.4,6.4
Degarelix,c1(cc2ccccc2cc1)C[C@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CO)C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H](C(N1[C@@H](C(N[C@@H](C(N)=O)C)=O)CCC1)=O)CCCCNC(C)C)=O)CC(C)C)=O)Cc1ccc(cc1)NC(N)=O)=O)Cc1ccc(cc1)NC([C@H]1CC(NC(N1)=O)=O)=O)=O)=O)Cc1cnccc1)=O)Cc1ccc(cc1)Cl)=O)NC(C)=O,0.74,0.68,0.1,18.1,18.6,1632.26,34,17,512.9,41,cationic,2.9,0.72
Dehydroandrographolide succinate,O=C(O)CCC(=O)O[C@@H]3CC[C@@]2(C)[C@H](/C=C/C1=CCOC1=O)C(=C)CC[C@@H]2[C@]3(C)COC(=O)CCC(=O)O,0.13,2,,1,1.9,532.58,10,2,153.5,13,anionic,2,-3.7
Delafloxacin,c1c2c(c(c(c1F)N3CC(C3)O)Cl)n(cc(c2=O)C(=O)O)c4c(cc(c(n4)N)F)F,0.35,2.33,0.16,2.5,2.1,440.76,8,3,121.7,3,anionic,2.5,-0.0083
Delorazepam (Chlordesmethyldiazepam),Clc1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,2.2,0.17,0.051,220,200,305.16,3,1,41.5,1,neutral,3.6,3.6
Demethylchlortetracycline,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N,1.3,1.1,0.59,17,12,464.85,10,6,181.6,2,anionic,-0.19,-2.9
Denaverine,CCC(CC)COC(C(=O)OCCN(C)C)(c1ccccc1)c2ccccc2,7.1,5.7,,21,34,383.52,4,0,38.8,12,cationic,5.3,4.3
Deoxycytidine-5F-2',c1c(c(nc(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)N)F,0.91,5.09,,2.98,0.78,245.21,7,3,110.6,2,neutral,-2,-2
Deramciclane,C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(c3ccccc3)OCCN(C)C,7.7,4.88,0.05,26.6,26.6,301.47,2,0,12.5,5,cationic,4,2.6
"Desacetylpaclitaxel, 4-; 4-methyl carbonate",COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)C)C3=O)C5(C)C)C,6.9,8.6,,13,31,869.91,16,4,230.5,15,neutral,2.3,2.3
Desferrioxamine,C(CCC(NCCCCCN(C(C)=O)O)=O)(N(CCCCCNC(CCC(N(CCCCCN)O)=O)=O)O)=O,1.35,8.33,,2.7,3.05,560.68,14,6,205.8,23,cationic,-2.6,-5.8
Desipramine,CNCCCN1c2ccccc2CCc3ccccc13,15,11,0.16,23,22,266.38,2,1,15.3,4,cationic,3.8,1.4
Desmethyldiazepam,Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.45,0.12,0.03,63,46,270.71,3,1,41.5,1,neutral,3,3
Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)N,0.3,1.4,,3.6,3,1069.22,26,14,435.4,20,cationic,-4.9,-8.4
Desvenlafaxine,c1cc(ccc1O)[C@@H](CN(C)C)C1(CCCCC1)O,3.5,4.9,0.7,11.8,8.4,263.38,3,2,43.7,4,cationic,2.9,0.95
Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.94,3.3,0.32,4.7,3.7,392.46,5,3,94.8,2,neutral,1.7,1.7
Dexanabinol,CCCCCCC(C)(C)c1cc(c2c(c1)OC([C@@H]3[C@@H]2CC(=CC3)CO)(C)C)O,5.06,21.38,,3.94,7.33,386.57,3,2,49.7,7,neutral,7.6,7.5
Dexfenfluramine,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,11,11,0.66,18,14,231.26,1,1,12,4,cationic,3.5,1.7
Dexloxiglumide,CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0.18,3.7,0.024,0.79,1.2,461.38,7,2,95.9,14,anionic,4.2,1
Dexmedetomidine,C[C@H](c1c[nH]cn1)c2cccc(C)c2C,1.6,11,0.06,2.5,2.2,200.28,2,1,28.7,2,neutral,2.8,2.7
Dexmethylphenidate,c1ccc([C@H]([C@H]2CCCCN2)C(OC)=O)cc1,2.65,6.67,0.87,6.62,8,233.31,3,1,38.3,4,cationic,2.1,0.84
Dexniguldipine,COC(=O)C1=C(C)NC(=C([C@@H]1c2cccc(c2)N(=O)=O)C(=O)OCCCN3CCC(CC3)(c4ccccc4)c5ccccc5)C,8.4,9.3,,15,22,609.71,9,1,113.7,12,cationic,6.8,5.9
Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,0.55,3.1,1,3,2.5,268.27,8,2,98.8,3,neutral,-0.45,-0.5
Dextromoramide,C[C@H](CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4,0.47,2.19,,3.88,3.18,392.53,4,0,32.8,6,neutral,3.4,3.4
Dezocine,c12[C@@]3([C@H]([C@@H](CCCCC3)Cc1ccc(c2)O)N)C,5.6,27.5,0.08,4.6,3.9,245.36,2,2,46.3,0,cationic,3,1.1
DHA Paclitaxel,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H]([C@@H](NC(=O)c1ccccc1)c2ccccc2)C(=O)O[C@H]3C[C@@]4(O)[C@@H](OC(=O)c5ccccc5)[C@@H]6[C@@]7(CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(=O)C)C(=C3C)C4(C)C)OC(=O)C,0.068,0.025,0.0038,45,60,1164.38,16,3,227.4,30,neutral,9,9
Diatrizoic Acid (Amidotrizoate),CC(=O)Nc1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I,0.26,1.7,1,2.6,1.8,613.91,6,3,95.5,3,anionic,0.98,-2.3
Diazepam,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,1,0.38,0.023,44,42,284.74,3,0,32.7,1,neutral,2.8,2.8
Diazoxide,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,0.21,0.06,0.06,58,48,230.67,4,1,58.5,0,neutral,1.2,1.2
Dibekacin,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,0.13,0.8,,2.7,2.4,451.52,13,9,247.9,6,cationic,-6,-8
Dichloroacetic Acid,OC(=O)C(Cl)Cl,0.19,5.3,,0.6,0.65,128.94,2,1,37.3,1,anionic,0.9,-2.5
Diclofenac,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,0.22,3.5,0.005,1,1.4,296.15,3,2,49.3,4,anionic,4,1.1
Dicloxacillin,Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(Cl)cccc4Cl,0.11,2,0.033,0.92,0.88,470.33,8,2,113,4,anionic,3.3,0.023
Didanosine,OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)NC=Nc23,0.77,11,0.95,1.2,1.4,236.23,7,2,88.7,2,neutral,-0.93,-0.95
Didemnin B,N1(C([C@H]2N(C([C@@H](NC([C@H](C([C@@H](OC(C[C@@H]([C@H](NC([C@H]([C@H](OC([C@@H]1Cc1ccc(cc1)OC)=O)C)NC([C@H](N(C([C@H]1N(C(=O)[C@@H](O)C)CCC1)=O)C)CC(C)C)=O)=O)[C@H](CC)C)O)=O)C(C)C)=O)C)=O)CC(C)C)=O)CCC2)=O)C,1.42,12.22,,1.94,4.8,1112.35,22,5,287.9,15,neutral,3.5,3.5
Dienogest,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,0.6,1.29,0.1,8.52,11,311.42,3,1,61.1,2,neutral,2.1,2.1
Diflomotecan,[H]O[C@]1(CC)CC(=O)OCC2=C1C=C1c3c(CN1C2=O)cc1cc(c(cc1n3)F)F,1.42,8.42,0.125682021,3.87,3.1,398.36,6,1,79.7,2,neutral,-0.7,-0.7
Diflunisal,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,0.097,0.1,0.0016,14,10,250.2,3,2,57.5,2,anionic,3.7,0.31
Digitoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,0.44,0.043,0.066,170,180,764.94,13,5,182.8,7,neutral,1.2,1.2
Digoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,4.1,1.7,0.7,40,38,780.94,14,6,203.1,7,neutral,0.21,0.21
Dihydrocodeine,CN1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](CC[C@H]3[C@H]1C5)O)OC,1.07,4.21,,4.08,3.42,301.38,4,1,41.9,1,cationic,2,0.29
Dihydroergosine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@@H]4C[C@@H]5c6cccc7c6c(c[nH]7)C[C@H]5N(C4)C)O,4.02,12.85,,5.01,8.84,549.66,10,3,118.2,4,cationic,3.7,3.2
Dihydroergotamine,N12[C@@]([C@H]3N(CCC3)C([C@@H]1Cc1ccccc1)=O)(O[C@](NC([C@@H]1C[C@@H]3c4c5c(c[nH]c5ccc4)C[C@H]3[N@@](C1)C)=O)(C)C2=O)O,0.33,15.07,0.07,0.36,0.55,583.68,10,3,118.2,4,cationic,3.8,3.3
Dihydroquinidine,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c3ccnc4ccc(OC)cc34,2.8,4.2,0.22,11,5.7,326.43,4,1,45.6,4,cationic,3.2,1.7
Dilevalol,C[C@H](CCc1ccccc1)NC[C@H](O)c2ccc(O)c(c2)C(=O)N,4.8,29,,2.8,3.3,328.41,5,4,95.6,8,cationic,1.8,0.97
Diltiazem,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,4.1,13,0.18,5.3,5.6,414.52,6,0,59.1,7,cationic,3.1,2.7
Dimetindene,C=1(c2c(cccc2)CC1CCN(C)C)[C@@H](c1ccccn1)C,2.16,4.83,,5.98,4.6,292.42,2,0,16.1,5,cationic,4,2.5
Dinaciclib,c1(cc(nc2n1ncc2CC)N1[C@@H](CCCC1)CCO)NCc1cn(=O)ccc1,0.32,4.65,,1.1,2.1,396.49,8,2,88.7,7,neutral,0.88,0.88
Diphenhydramine,CN(C)CCOC(c1ccccc1)c2ccccc2,6.5,9.8,0.19,11,9.3,255.35,2,0,12.5,6,cationic,3.5,2.3
Diprafenone,CCC(C)(C)NCC(O)COc1ccccc1C(=O)CCc2ccccc2,1.2,11,0.017,1.9,1.5,369.5,4,2,58.6,11,cationic,4,2
Diprophylline,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,0.42,4.8,,1.5,1.7,254.24,8,2,98.9,3,neutral,-1.2,-1.2
Dipyridamole,c12c(c(N3CCCCC3)nc(n2)N(CCO)CCO)nc(N(CCO)CCO)nc1N1CCCCC1,0.82,2,0.009,6.8,13,504.63,12,4,145.4,12,cationic,2,1.4
Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,0.52,0.9,0.16,9.6,7,339.47,4,1,59.2,8,cationic,2.2,-0.11
Distigmine,c1(OC(N(CCCCCCN(C(Oc2c[n+](ccc2)C)=O)C)C)=O)c[n+](ccc1)C,1,0.2,,82.4,59.8,416.51,8,0,66.8,11,neutral,-5.7,-5.7
Disufenton sodium,[Na+].[Na+].c1(cc(c(cc1)\C=[N+](\C(C)(C)C)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],0.18,1.35,0.6,2.2,3.6,381.33,8,0,140.5,3,neutral,-3.5,-8.5
Dixyrazine,CC(CN1CCN(CC1)CCOCCO)CN2c3ccccc3Sc4c2cccc4,4.06,16.27,,4.16,3.11,427.6,5,1,39.2,9,cationic,3.8,3
Dobesilic acid,O=S(=O)(O)c1c(O)ccc(O)c1,0.12,0.87,,2.41,2.01,190.17,5,3,94.8,1,neutral,-1.1,-4
Dobutamine,c1(cc(CCN[C@@H](CCc2ccc(cc2)O)C)ccc1O)O,,115,,,,301.38,4,4,72.7,7,cationic,3.4,1.7
Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,2.1,14,0.04,2.5,11,807.88,15,5,224.4,12,neutral,3,3
Dofetilide,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,3.3,5.2,0.36,11,8.1,441.56,8,2,104.8,11,cationic,1.9,1.2
Dolasetron,O=C(O[C@@H]1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c4c[nH]c5ccccc45,2,180,0.49,0.19,0.13,324.37,5,1,62.4,3,cationic,3.3,2.4
Domperidone,Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,3.4,9.5,0.082,6,7.5,425.91,7,2,67.9,5,cationic,3.6,3.1
Dopamine,c1(cc(c(O)cc1)O)CCN,0.74,65.9,0.87,0.19,0.42,153.18,3,3,66.5,2,cationic,0.56,-2
Doripenem,[H]N1C[C@@H](C[C@H]1CN([H])S(N([H])[H])(=O)=O)SC1=C(C(=O)O[H])N2C([C@@H]1C)[C@@H](C2=O)[C@H](C)O[H],0.23,3.26,0.92,1.2,1.2,420.5,10,5,162.1,10,zwitterionic,-1.5,-3.9
Doxacurium,COc1cc(CC2c3c(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]4(C)CCc5cc(OC)c(OC)c(OC)c5C4Cc6cc(OC)c(OC)c(OC)c6)cc(OC)c(OC)c3OC)cc(OC)c1OC,0.22,2.7,0.53,1.4,1.7,1035.22,18,0,163.4,29,neutral,0.57,0.57
Doxapram,CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,1.2,5.3,,3.7,4.1,378.51,4,0,32.8,6,neutral,3.2,3.1
Doxazosin,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,1.3,1.6,0.017,14,10,451.48,10,1,112.3,4,neutral,2.6,2.6
Doxepin,CN(C)CC\C=C\1/c2ccccc2COc3ccccc13,12,14,0.2,15,15,279.38,2,0,12.5,3,cationic,4.2,2.8
Doxifluridine,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(F)C(=O)NC2=O,0.28,11,0.61,0.46,0.35,246.19,7,3,99.1,1,neutral,-1.3,-1.5
Doxofylline,c12c(n(c(=O)n(c2=O)C)C)ncn1CC1OCCO1,1.03,6.83,,2.5,1.66,266.25,8,0,80.3,2,neutral,-0.36,-0.36
Doxorubicin,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,22,15,0.28,24,32,543.52,12,6,206.1,5,cationic,0.46,-2.2
Doxycycline,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,0.69,0.46,0.12,25,14,444.43,10,6,181.6,2,anionic,-0.64,-3.3
DP-b99,CCCCCCCCOCCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc2ccccc2N(CC(=O)O)CC(=O)OCCOCCCCCCCC,1.1,14,,1.3,3.5,788.96,14,2,170.6,37,anionic,8.9,4.4
DQ-2556,c1cc(cc[n+]1CC1=C(N2C([C@H]([C@H]2SC1)NC(=O)\C(=N\OC)c1nc(sc1)N)=O)C(=O)[O-])c1cnco1,0.22,1.76,,2.64,1.78,541.56,13,2,180.3,8,anionic,-1.6,-0.63
Dronedarone,CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(=O)c1ccc(cc1)OCCCN(CCCC)CCCC,20,33.33,0.02,10,16,556.76,7,1,89.1,18,zwitterionic,7.3,4.7
Droperidol,n1(c2c(cccc2)[nH]c1=O)C=1CC[N@@](CCCC(c2ccc(F)cc2)=O)CC1,1.41,8.92,,2.73,1.9,379.43,5,1,58.1,6,cationic,3,0.54
Drotaverine,CCOc1ccc(\C=C\2/NCCc3cc(OCC)c(OCC)cc23)cc1OCC,1.9,3.5,0.12,9,9.3,397.51,5,1,48.9,9,neutral,4.6,4.6
Duloxetine,"s1cccc1[C@@H](Oc1cccc2c1cccc2)CCNC
",,8.57,0.04,,12,297.41,2,1,21.3,6,cationic,4,2.5
DX-52-1,c12[C@@H]([N@@]3[C@@H]([C@@H]4C[C@@H]([C@@H]([N@@]4C)[C@@H]3Cc1cccc2OC)C(=O)O)C#N)CO,0.23,3.06,,1.23,1.52,357.4,7,2,97,4,anionic,-0.018,-3.2
DX9065a,CC(=N)N1CC[C@@H](C1)Oc2ccc(cc2)[C@H](Cc3ccc4ccc(cc4c3)C(=N)N)C(=O)O,1.55,1.86,,14.4,24.02,444.53,7,4,123.5,8,cationic,3.8,-1.3
E7107,N1(CCN(CC1)C1CCCCCC1)C(=O)O[C@H]1C=C[C@@H]([C@H](OC(=O)C[C@@H](CC[C@@]1(C)O)O)C(=C\C=C\[C@](C[C@H]1O[C@@H]1[C@@H]([C@H](CC)O)C)(C)O)\C)C,10.1,47.9,,3.5,9.2,718.96,11,4,152.5,11,cationic,5,4
E7974,CC(C)[C@@H](\C=C(/C)\C(=O)O)N(C)C(=O)[C@@H](NC(=O)[C@H]1CCCCN1C(C)C)C(C)(C)C,1.26,0.97,,21.5,17.5,437.62,7,2,89.9,8,anionic,4,1.4
Ecallantide,N[C@@H](CCC(=O)O)C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H]1C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(NCC(N2[C@H](C(N[C@@H]3C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N4[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H]5C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(NCC(NCC(N[C@H](C(N[C@H](C(NCC(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CC(=O)O)=O)CCCNC(N)=N)=O)[C@@H](O)C)=O)CSSC1)=O)CCSC)=O)CCCCN)=O)CCCCN)=O)CSSC5)=O)CCC(=O)O)=O)CCC(=O)O)=O)CC(C)C)=O)CO)=O)CCC(=O)O)=O)Cc1ccccc1)=O)CCCNC(N)=N)=O)CC(=O)N)=O)CCC(=O)N)=O)CC(=O)N)=O)=O)CCC(=O)O)=O)CSSC3)=O)=O)=O)Cc1ccc(cc1)O)=O)[C@@H](C)CC)=O)Cc1ccccc1)=O)CCC(=O)O)=O)CCC(=O)O)=O)=O)CCC(=O)N)=O)CCCNC(N)=N)=O)[C@@H](O)C)=O)Cc1ccccc1)=O)[C@@H](C)CC)=O)CC(=O)N)=O)Cc1ccccc1)=O)Cc1ccccc1)=O)Cc1c[nH]c3c1cccc3)=O)CCCNC(N)=N)=O)CCC4)=O)Cc1[nH]cnc1)=O)C)=O)C)=O)CCCNC(N)=N)=O)=O)CCC2)=O)=O)CC(=O)O)=O)CC(=O)O)=O)C)=O)CCCCN)=O)Cc1ccccc1)=O)C)=O)=O)Cc1ccccc1)=O)CO)=O)Cc1[nH]cnc1)=O)CCSC)=O)C)=O,0.18,1.6,,1.9,1.8,7061.89,179,101,2895.9,246,anionic,-9,-9
Edaravone,N1(c2ccccc2)N=C(C)CC1=O,0.23,1.42,0.89,2.65,2.36,174.2,3,0,32.7,1,neutral,2.2,2.2
Edotecarin,OCC(CO)NN1C(=O)c2c(C1=O)c3c4ccc(O)cc4n([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c3c6[nH]c7cc(O)ccc7c26,1.45,25.3,,0.95,4.01,608.55,15,10,241.2,6,anionic,-2.3,-2.8
Edoxaban,c1(nc2c(s1)CN(CC2)C)C(=O)N[C@H]1[C@@H](NC(=O)C(=O)Nc2ncc(Cl)cc2)CC[C@H](C(=O)N(C)C)C1,1.53,5.19,0.5,4.91,6.7,548.06,11,3,136.6,6,neutral,1.5,1.3
Edrophonium,CC[N+](C)(C)c1cccc(O)c1,1.1,9.6,,1.9,1.8,166.24,2,1,20.2,2,neutral,-3.1,-3.2
Eletriptan,CN1CCC[C@@H]1Cc2c[nH]c3ccc(CCS(=O)(=O)c4ccccc4)cc23,1.6,5.3,0.15,5,4.2,382.52,4,1,53.2,6,cationic,3.7,2.2
Eliglustat,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](c2ccc3c(c2)OCCO3)O,,20.95,0.21,,7.7,404.54,6,2,71,11,cationic,3.2,2.4
Elinafide,C(CCNCCN1C(=O)c2c(ccc3ccccc23)C1=O)NCCN1C(=O)c2c(ccc3ccccc23)C1=O,12,5.7,,35.2,52.6,520.58,8,2,98.8,10,cationic,3.7,2.9
Elisidepsin,CC[C@H](C)CCC(=O)N[C@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCN)C(=O)N[C@H]([C@@H](C)CC)C(=O)N[C@@H]2[C@H](OC(=O)[C@@H](NC(=O)/C(=C/C)/NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC2=O)[C@@H](C)CC)C(C)C)Cc3ccccc3)C(C)C)C,5.55,3.85,,24.02,74.1,1477.87,30,14,442.1,33,cationic,5.8,3.4
