CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
OC(=O)C1CCC(CC1)NC(=O)C2(CCCC2)C[C@H](C(=O)O)COCCOC,Candoxatrilat,2.3,15.0,5.8,,0.25,,,,0.8723,0.23,,,COCCOCC(CC1(C(=O)NC2CCC(C(=O)[O-])CC2)CCCC1)C(=O)[O-],"InChI=1S/C20H33NO7/c1-27-10-11-28-13-15(18(24)25)12-20(8-2-3-9-20)19(26)21-16-6-4-14(5-7-16)17(22)23/h14-16H,2-13H2,1H3,(H,21,26)(H,22,23)(H,24,25)/p-2",397.21114949182
SC[C@@H](C)C(=O)N1[C@H](C(=O)O)CCC1,Captopril,12.0,13.0,10.08,18.92,0.75,1.7,2.45,3.63,0.73,,,,CC(CS)C(=O)[NH+]1CCCC1C(=O)[O-],"InChI=1S/C9H15NO3S/c1-6(5-14)8(11)10-4-2-3-7(10)9(12)13/h6-7,14H,2-5H2,1H3,(H,12,13)",217.07726434
ClCCN(N=O)C(=O)NCCCl,Carmustine,78.0,,17.8,21.0,1.2,,1.1,0.9,0.23,,,,O=N[NH+](CCCl)C(=O)NCCCl,"InChI=1S/C5H9Cl2N3O2/c6-1-3-8-5(11)10(9-12)4-2-7/h1-4H2,(H,8,11)/p+1",214.01445834009
O=C(N)OC[C@H]1N(S(=O)(=O)O)C(=O)[C@H]1NC(=O)/C(=N\OCC(=O)O)c2nc(N)sc2,Carumom,1.5,22.0,5.5,4.5,0.18,0.1,0.1,0.12,0.72,0.7,0.89,0.76,NC(=O)OC[C@@H]1C(=NC(=O)C(NOCC(=O)[O-])c2csc(N)n2)C(=O)N1S(=O)(=O)[O-],"InChI=1S/C12H14N6O10S2/c13-11-15-4(3-29-11)7(17-28-2-6(19)20)9(21)16-8-5(1-27-12(14)23)18(10(8)22)30(24,25)26/h3,5,7,17H,1-2H2,(H2,13,15)(H2,14,23)(H,19,20)(H,24,25,26)/p-2/t5-,7?/m1/s1",464.0067297438201
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@H](O)c4ccccc4,Cefamandole,3.6,21.8,,,0.16,0.25,,,0.25,,,,Cn1nnnc1SCC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C(O)c3ccccc3)[C@H]2SC1,"InChI=1S/C18H18N6O5S2/c1-23-18(20-21-22-23)31-8-10-7-30-16-11(15(27)24(16)12(10)17(28)29)19-14(26)13(25)9-5-3-2-4-6-9/h2-6,11,13,16,25H,7-8H2,1H3,(H,19,26)(H,28,29)/t11?,13?,16-/m1/s1",462.0780096759999
Cc1nnc(s1)SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)Cn4nnnc4,Cefazolin,0.89,5.4,3.5,1.9,0.12,0.17,0.27,0.13,0.18,0.08,0.7,0.08,Cc1nnc(SCC2=C(C(=O)[O-])[NH+]3C(=O)C(NC(=O)Cn4cnnn4)[C@H]3SC2)s1,"InChI=1S/C14H14N8O4S3/c1-6-17-18-14(29-6)28-4-7-3-27-12-9(11(24)22(12)10(7)13(25)26)16-8(23)2-21-5-15-19-20-21/h5,9,12H,2-4H2,1H3,(H,16,23)(H,25,26)/t9?,12-/m1/s1",454.0300139280001
[H]/N=C(\[O-])C12CC[N+](CC1)(CC2)CC(CS3)=C(C(=O)O)N([C@H]34)C(=O)[C@H]4NC(=O)/C(=N\OC)c5nc(sn5)N,Cefclidin,1.7,,3.3,,0.27,,0.23,,,,,,[H]NC(=O)C12CC[N+](CC3=C(C(=O)[O-])[NH+]4C(=O)C(=NC(=O)C(NOC)c5nsc(N)n5)[C@H]4SC3)(CC1)CC2,"InChI=1S/C21H26N8O6S2/c1-35-26-11(14-25-20(23)37-27-14)15(30)24-12-16(31)28-13(18(32)33)10(9-36-17(12)28)8-29-5-2-21(3-6-29,4-7-29)19(22)34/h11,17,26H,2-9H2,1H3,(H4-,22,23,25,27,32,33,34)/p+1/t11?,17-,21?,29?/m1/s1",551.14894900409
C1CCC[N+]1(C)CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC)c4nc(N)sc4,Cefepime,2.2,11.0,2.2,1.6,0.28,0.38,0.14,0.2,0.78,0.9,0.5182,,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,"InChI=1S/C19H24N6O5S2/c1-25(5-3-4-6-25)7-10-8-31-17-13(16(27)24(17)14(10)18(28)29)22-15(26)12(23-30-2)11-9-32-19(20)21-11/h9,13,17H,3-8H2,1-2H3,(H3-,20,21,22,26,28,29)/p+1/t13?,17-/m1/s1",481.1322363200901
C=CC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OCC(=O)O)c3nc(N)sc3,Cefixime,1.0,6.0,0.4,,0.24,0.4,0.24,,0.31,0.4,0.07,,C=CC1=C(C(=O)[O-])[NH+]2C(=O)C(=NC(=O)C(NOCC(=O)[O-])c3csc(N)n3)[C@H]2SC1,"InChI=1S/C16H15N5O7S2/c1-2-6-4-29-14-10(13(25)21(14)11(6)15(26)27)19-12(24)9(20-28-3-8(22)23)7-5-30-16(17)18-7/h2,5,9,14,20H,1,3-4H2,(H2,17,18)(H,22,23)(H,26,27)/p-1/t9?,14-/m1/s1",452.03401336791006
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC)c4nc(N)sc4,Cefmenoxime,3.65,7.46,8.91,,0.2,0.28,0.3,,,,,,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,"InChI=1S/C16H17N9O5S3/c1-24-16(20-22-23-24)33-4-6-3-31-13-9(12(27)25(13)10(6)14(28)29)19-11(26)8(21-30-2)7-5-32-15(17)18-7/h5,9,13H,3-4H2,1-2H3,(H2,17,18)(H,19,26)(H,28,29)/t9?,13-/m1/s1",511.0514776440002
N#CCSCC(=O)N[C@]1(OC)C(=O)N([C@@H]12)C(C(=O)O)=C(CS2)CSc3nnnn3C,Cefmetazole,1.5,25.3,8.0,3.3,0.13,0.35,0.9,0.3,0.15,0.55,0.75,0.34,CO[C@@]1(NC(=O)CSCC#N)C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,"InChI=1S/C15H17N7O5S3/c1-21-14(18-19-20-21)30-6-8-5-29-13-15(27-2,17-9(23)7-28-4-3-16)12(26)22(13)10(8)11(24)25/h13H,4-7H2,1-2H3,(H,17,23)(H,24,25)/t13-,15+/m1/s1",471.04532964400016
Nc1scc(n1)/C(=N/OC)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)CSc4sc(c(n4)C)CC(=O)O,Cefodizime,0.61,1.1,4.1,1.2,0.05,0.18,0.26,0.15,0.18,0.0097,0.2433,1.0,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nc(C)c(CC(=O)[O-])s3)CS[C@H]12)c1csc(N)n1,"InChI=1S/C20H20N6O7S4/c1-7-10(3-11(27)28)37-20(22-7)36-5-8-4-34-17-13(16(30)26(17)14(8)18(31)32)24-15(29)12(25-33-2)9-6-35-19(21)23-9/h6,13,17H,3-5H2,1-2H3,(H2,21,23)(H,24,29)(H,27,28)(H,31,32)/p-1/t13?,17-/m1/s1",583.02035452791
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@@H](c4ccc(O)cc4)NC(=O)N5CCN(C(=O)C5=O)CC,Cefoperazone,1.3,23.0,5.8,0.96,0.17,0.39,0.28,0.13,0.07,0.36,0.5902,0.2744,CC[NH+]1CC[NH+](C(=O)NC(C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc([O-])cc2)C(=O)C1=O,"InChI=1S/C25H27N9O8S2/c1-3-32-8-9-33(21(39)20(32)38)24(42)27-15(12-4-6-14(35)7-5-12)18(36)26-16-19(37)34-17(23(40)41)13(10-43-22(16)34)11-44-25-28-29-30-31(25)2/h4-7,15-16,22,35H,3,8-11H2,1-2H3,(H,26,36)(H,27,42)(H,40,41)/p+1/t15?,16?,22-/m1/s1",646.1496772760901
NCc1ccccc1CC(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)CSc4nnnn4CC(=O)O,Ceforanide,0.66,5.4,6.5,,0.17,0.5,0.5,,0.19,,,,[NH3+]Cc1ccccc1CC(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nnnn3CC(=O)[O-])CS[C@H]12,"InChI=1S/C20H21N7O6S2/c21-6-11-4-2-1-3-10(11)5-13(28)22-15-17(31)27-16(19(32)33)12(8-34-18(15)27)9-35-20-23-24-25-26(20)7-14(29)30/h1-4,15,18H,5-9,21H2,(H,22,28)(H,29,30)(H,32,33)/t15?,18-/m1/s1",519.099473392
OCCn1c(N)cc[n+]1CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC)c4nc(N)sc4,Cefoselis,1.77,9.6,3.5,1.9,0.3,0.2,0.39,0.28,,,,,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(C[n+]3ccc(N)n3CCO)CS[C@H]12)c1csc(N)n1,"InChI=1S/C19H22N8O6S2/c1-33-24-12(10-8-35-19(21)22-10)15(29)23-13-16(30)27-14(18(31)32)9(7-34-17(13)27)6-25-3-2-11(20)26(25)4-5-28/h2-3,8,13,17,20,28H,4-7H2,1H3,(H4,21,22,23,29,31,32)/p+1/t13?,17-/m1/s1",523.11764887609
O=C(C)OCC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OC)c3nc(N)sc3,Cefotaxime,2.7,,8.13,,0.19,,0.5,,0.6,0.59,,,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,"InChI=1S/C16H17N5O7S2/c1-6(22)28-3-7-4-29-14-10(13(24)21(14)11(7)15(25)26)19-12(23)9(20-27-2)8-5-30-16(17)18-8/h5,10,14H,3-4H2,1-2H3,(H2,17,18)(H,19,23)(H,25,26)/t10?,14-/m1/s1",455.05693988400003
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@@]3(OC)NC(=O)C4SC(S4)=C(C(=O)N)C(=O)O,Cefotetan,0.42,12.78,4.0,1.7,0.13,0.25,0.25,0.17,0.15,0.7,0.6,0.13,CO[C@@]1(NC(O)=c2sc(=C(C(N)=O)C(=O)[O-])s2)C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21,"InChI=1S/C17H17N7O8S4/c1-23-16(20-21-22-23)34-4-5-3-33-15-17(32-2,14(31)24(15)7(5)11(29)30)19-9(26)13-35-12(36-13)6(8(18)25)10(27)28/h15,19,26H,3-4H2,1-2H3,(H2,18,25)(H,27,28)(H,29,30)/p-1/t15-,17+/m1/s1",573.9948680519101
O=C(N)OCC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@@]2(OC)NC(=O)Cc3sccc3,Cefoxitin,3.6,,11.0,,0.17,,0.6,,0.73,,,,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)[NH+]2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21,"InChI=1S/C16H17N3O7S2/c1-25-16(18-10(20)5-9-3-2-4-27-9)13(23)19-11(12(21)22)8(6-26-15(17)24)7-28-14(16)19/h2-4,14H,5-7H2,1H3,(H2,17,24)(H,18,20)(H,21,22)/t14-,16+/m1/s1",427.050791884
c1ccn[n+](c12)ccn2CC(CS3)=C(C([O-])=O)N([C@H]34)C(=O)[C@H]4NC(=O)/C(=N\OC)c5nc(sn5)N,Cefozopran,2.1,9.4,3.0,1.9,0.24,0.2,0.2,0.2,0.7386,0.93,0.9,0.9,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(Cn3cc[n+]4ncccc34)CS[C@H]12)c1nsc(N)n1,"InChI=1S/C19H17N9O5S2/c1-33-24-11(14-23-19(20)35-25-14)15(29)22-12-16(30)28-13(18(31)32)9(8-34-17(12)28)7-26-5-6-27-10(26)3-2-4-21-27/h2-6,12,17H,7-8H2,1H3,(H3-,20,22,23,25,29,31,32)/p+1/t12?,17-/m1/s1",516.0866830960902
OS(=O)(=O)CCc1cc[n+](cc1)CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@@H](c4ccccc4)NC(=O)c5nc[nH]c5C(=O)O,Cefpimizole,1.7,,0.6,3.0,0.21,,0.2,0.3,,,0.07,,O=C([O-])C1=C(C[n+]2ccc(CCS(=O)(=O)[O-])cc2)CS[C@@H]2C(NC(=O)C(NC(=O)c3nc[n-]c3C(=O)[O-])c3ccccc3)C(=O)[NH+]12,"InChI=1S/C28H26N6O10S2/c35-23(18(16-4-2-1-3-5-16)31-24(36)19-20(27(38)39)30-14-29-19)32-21-25(37)34-22(28(40)41)17(13-45-26(21)34)12-33-9-6-15(7-10-33)8-11-46(42,43)44/h1-7,9-10,14,18,21,26H,8,11-13H2,(H5-,29,30,31,32,35,36,38,39,40,41,42,43,44)/p-2/t18?,21?,26-/m1/s1",668.1006301278201
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@@H](c4ccc(O)cc4)NC(=O)c5c(=O)cc(C)[nH]c5,Cefpiramide,0.48,9.5,5.7,0.5,0.15,0.26,0.49,0.1,0.03,0.54,0.7,0.07,Cc1cc(=O)c(C(=O)NC(C(=O)NC2C(=O)[NH+]3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc([O-])cc2)c[n-]1,"InChI=1S/C25H24N8O7S2/c1-11-7-16(35)15(8-26-11)20(36)27-17(12-3-5-14(34)6-4-12)21(37)28-18-22(38)33-19(24(39)40)13(9-41-23(18)33)10-42-25-29-30-31-32(25)2/h3-8,17-18,23H,9-10H2,1-2H3,(H5,26,27,28,34,35,36,37,39,40)/p-2/t17?,18?,23-/m1/s1",610.1063842038201
Nc1scc(n1)/C(=N/OC)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C([O-])=O)=C(CS3)C[n+](ccc4)c(c45)CCC5,Cefpirome,1.9,9.5,3.2,2.4,0.24,0.3,0.22,0.27,0.9,,0.5423,0.4458,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,"InChI=1S/C22H22N6O5S2/c1-33-26-15(13-10-35-22(23)24-13)18(29)25-16-19(30)28-17(21(31)32)12(9-34-20(16)28)8-27-7-3-5-11-4-2-6-14(11)27/h3,5,7,10,16,20H,2,4,6,8-9H2,1H3,(H3-,23,24,25,29,31,32)/p+1/t16?,20-/m1/s1",515.11658625609
c1cccc[n+]1CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC(C)(C)C(=O)O)c4nc(N)sc4,Ceftazidime,2.4,8.7,3.2,2.1,0.31,0.3,0.21,0.26,0.79,,1.0,0.9451,CC(C)(ON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-],"InChI=1S/C22H22N6O7S2/c1-22(2,20(33)34)35-26-13(12-10-37-21(23)24-12)16(29)25-14-17(30)28-15(19(31)32)11(9-36-18(14)28)8-27-6-4-3-5-7-27/h3-7,10,14,18H,8-9H2,1-2H3,(H4-,23,24,25,29,31,32,33,34)/t14?,18-/m1/s1",546.099139044
S1CC=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OC)c3nc(N)sc3,Ceftizoxime,2.1,19.33,3.25,5.93,0.2,0.54,0.27,0.29,0.72,0.7,0.83,0.662,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=CCS[C@H]12)c1csc(N)n1,"InChI=1S/C13H13N5O5S2/c1-23-17-7(5-4-25-13(14)15-5)9(19)16-8-10(20)18-6(12(21)22)2-3-24-11(8)18/h2,4,8,11H,3H2,1H3,(H2,14,15)(H,16,19)(H,21,22)/t8?,11-/m1/s1",383.0358105160001
Nc1scc(n1)/C(=N/OC)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)CSc4nc(=O)c(=O)[nH]n4C,Ceftriaxone,0.26,20.0,3.95,0.19,0.09,1.0,0.25,0.11,0.052,0.071,0.7172,0.0487,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(CSc3nc(=O)c(=O)[n-]n3C)CS[C@H]12)c1csc(N)n1,"InChI=1S/C18H18N8O7S3/c1-25-18(22-12(28)13(29)23-25)36-4-6-3-34-15-9(14(30)26(15)10(6)16(31)32)21-11(27)8(24-33-2)7-5-35-17(19)20-7/h5,9,15H,3-4H2,1-2H3,(H5,19,20,21,23,27,29,31,32)/p-1/t9?,15-/m1/s1",553.03878146391
O=C(N)OCC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OC)c3occc3,Cefuroxime,2.2,,5.0,,0.15,,1.5,,0.36,,,,CON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1,"InChI=1S/C16H16N4O8S/c1-26-19-9(8-3-2-4-27-8)12(21)18-10-13(22)20-11(15(23)24)7(5-28-16(17)25)6-29-14(10)20/h2-4,10,14H,5-6H2,1H3,(H2,17,25)(H,18,21)(H,23,24)/t10?,14-/m1/s1",424.068884472
CC(C)C[C@@H](B(O)O)NC(=O)[C@H]([C@H](O)C)NC(=O)c1nc(ccc1)-c2ccccc2,CEP-18770,0.29,3.17,,,0.87,18.1,,,,,,,CC(C)C[C@H](NC(=O)C(NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O,"InChI=1S/C21H28BN3O5/c1-13(2)12-18(22(29)30)24-21(28)19(14(3)26)25-20(27)17-11-7-10-16(23-17)15-8-5-4-6-9-15/h4-11,13-14,18-19,26,29-30H,12H2,1-3H3,(H,24,28)(H,25,27)/t14-,18+,19?/m1/s1",413.21220139599995
S1CC(C)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)c3ccccc3,Cephalexin,3.9,24.2,,,0.21,0.85,,,0.85,,,,CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccccc3)[C@H]2SC1,"InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/p+1/t10?,11?,15-/m1/s1",348.10125347609
S1CC(C)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)C3=CCC=CC3,Cephradine,3.3,21.7,,,0.21,1.1,,,0.95,,,,CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])C3=CCC=CC3)[C@H]2SC1,"InChI=1S/C16H19N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-3,6,10-11,15H,4-5,7,17H2,1H3,(H,18,20)(H,22,23)/p+1/t10?,11?,15-/m1/s1",350.11690354009
Fc1ccc(cc1)-c2c(COC)c(C(C)C)nc(C(C)C)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,Cerivastatin,2.9,27.0,,,0.33,3.0,,,0.01,,,,COCc1c(-c2ccc(F)cc2)c(=CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(C(C)C)nc1=C(C)C,"InChI=1S/C26H34FNO5/c1-15(2)25-21(11-10-19(29)12-20(30)13-23(31)32)24(17-6-8-18(27)9-7-17)22(14-33-5)26(28-25)16(3)4/h6-9,11,15,19-20,29-30H,10,12-14H2,1-5H3,(H,31,32)/p-1/t19-,20-/m1/s1",458.23482495590997
c1cc(Cl)cc(c1=2)=C(N(O)CC(\N2)=N\C)c3ccccc3,Chlordiazepoxide,0.37,7.8,,,0.25,1.3,,,0.056,0.15,,,C/[NH+]=C1/C[NH+](O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,"InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9,21H,10H2,1H3/p+2/b18-15-",301.09709265218004
CCC#CC[C@H](C)[C@H](O)C#C[C@@H]([C@H](O)C1)[C@H]([C@H]12)CC(\C2)=C\COCC(=O)O,Cicaprost,3.8,49.0,,14.3,0.08,1.0,,1.2,,,,,CCC#CC[C@H](C)[C@H](O)C#C[C@@H]1[C@H]2C/C(=C/COCC(=O)[O-])C[C@H]2C[C@H]1O,"InChI=1S/C22H30O5/c1-3-4-5-6-15(2)20(23)8-7-18-19-12-16(9-10-27-14-22(25)26)11-17(19)13-21(18)24/h9,15,17-21,23-24H,3,6,10-14H2,1-2H3,(H,25,26)/p-1/b16-9+/t15-,17-,18+,19-,20+,21+/m0/s1",373.20204760790995
OP(=O)(O)CO[C@H](CO)Cn1ccc(N)nc1=O,Cidofovir,2.5,0.7,,3.5,0.49,2.0,,0.8,1.0,1.0,,,Nc1ccn(C[C@@H](CO)OCP(=O)([O-])[O-])c(=O)n1,"InChI=1S/C8H14N3O6P/c9-7-1-2-11(8(13)10-7)3-6(4-12)17-5-18(14,15)16/h1-2,6,12H,3-5H2,(H2,9,10,13)(H2,14,15,16)/p-2/t6-/m0/s1",277.04746889382005
C1CNCCN1c(c(F)c2)cc(c23)n(C4CC4)cc(c3=O)C(=O)O,Ciprofloxacin,8.3,27.0,18.0,4.7,2.1,4.6,3.1,1.8,0.7,0.79,0.8772,0.5505,O=C([O-])c1cn(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2c1=O,"InChI=1S/C17H18FN3O3/c18-13-7-11-14(8-15(13)20-5-3-19-4-6-20)21(10-1-2-10)9-12(16(11)22)17(23)24/h7-10,19H,1-6H2,(H,23,24)",331.13321965599994
Fc1ccc(cc1)C(OC2)(CCCN(C)C)c(c23)ccc(c3)C#N,Citalopram,4.3,82.0,14.0,40.0,12.0,21.0,10.0,10.0,0.2,0.26,0.4444,0.3989,C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,"InChI=1S/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3/p+1",325.17106796409
Nc1nc(Cl)nc(c12)n(cn2)[C@@H]3O[C@@H]([C@@H](O)C3)CO,Cladribine,14.0,25.3,,,7.7,4.5,,,0.79,,,,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,"InChI=1S/C10H12ClN5O3/c11-10-14-8(12)7-9(15-10)16(3-13-7)6-1-4(18)5(2-17)19-6/h3-6,17-18H,1-2H2,(H2,12,14,15)/t4-,5+,6+/m0/s1",285.06286692399993
Cc1ccc(nc1)S(=O)(=O)Nc2nc(-c3cc(ncc3)-c4n[nH]nn4)nc(OCCO)c2Oc5c(OC)cccc5,Clazosentan,10.5,11.7,2.89,19.0,0.23,0.32,0.11,0.36,,,,,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(-c2ccnc(-c3nn[n-]n3)c2)nc1OCCO,"InChI=1S/C25H22N9O6S/c1-15-7-8-20(27-14-15)41(36,37)32-24-21(40-19-6-4-3-5-18(19)38-2)25(39-12-11-35)29-22(28-24)16-9-10-26-17(13-16)23-30-33-34-31-23/h3-10,13-14,35H,11-12H2,1-2H3,(H-,28,29,30,31,32,33,34)/q-1",576.1419240039103
Clc1cccc(c1Cl)C2C(=C(C)NC(C)=C2C(=O)OC)C(=O)OCOC(=O)CCC,Clevidipine,142.0,324.0,163.0,,0.58,0.44,0.21,,0.0038,,,,CCCC(=O)OCOC(=O)C1=C(C)[NH2+]C(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,"InChI=1S/C21H23Cl2NO6/c1-5-7-15(25)29-10-30-21(27)17-12(3)24-11(2)16(20(26)28-4)18(17)13-8-6-9-14(22)19(13)23/h6,8-9,18,24H,5,7,10H2,1-4H3/p+1",456.09751926808997
O[C@@H]1[C@H](O)[C@@H](O)[C@@H](SC)O[C@@H]1[C@@H]([C@@H](Cl)C)NC(=O)[C@H]2N(C)C[C@@H](C2)CCC,Clindamycin,4.5,40.0,6.1,,0.79,1.4,0.86,,0.06,0.325,0.035,,CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)[NH+](C)C1,"InChI=1S/C18H33ClN2O5S/c1-5-6-10-7-11(21(3)8-10)17(25)20-12(9(2)19)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,22-24H,5-8H2,1-4H3,(H,20,25)/p+1/t9-,10+,11?,12+,13-,14+,15+,16+,18+/m0/s1",425.18714728809
c1cc(Cl)cc(c12)N(CCCN(C)C)c3c(CC2)cccc3,Clomipramine,8.2,,23.3,,13.0,,3.7,,0.029,,0.01,,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,"InChI=1S/C19H23ClN2/c1-21(2)12-5-13-22-18-7-4-3-6-15(18)8-9-16-10-11-17(20)14-19(16)22/h3-4,6-7,10-11,14H,5,8-9,12-13H2,1-2H3/p+1",315.16225286809
C1CN(C)CCN1C(=c(c2=3)cccc2)Nc4c(N3)ccc(Cl)c4,Clozapine,2.5,77.5,,,1.6,8.68,,,0.055,,,,C[NH+]1CC[NH+](C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,"InChI=1S/C18H19ClN4/c1-22-8-10-23(11-9-22)18-14-4-2-3-5-15(14)20-16-7-6-13(19)12-17(16)21-18/h2-7,12,20H,8-11H2,1H3/p+2",328.14437719218
Clc1ccccc1C(=NCC(=O)N2)c(c23)cc([N+]([O-])=O)cc3,Clozepam,0.88,70.5,24.0,14.3,2.9,3.1,2.49,6.8,0.15,,0.18,0.1213,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,"InChI=1S/C15H10ClN3O3/c16-12-4-2-1-3-10(12)15-11-7-9(19(21)22)5-6-13(11)18-14(20)8-17-15/h1-7H,8H2,(H,18,20)",315.04106886
CCOC(=O)[C@H]([C@H](N1C)CC2)[C@H](C[C@@H]12)OC(=O)c3ccccc3,Cocaethylene,13.0,,42.2,,1.6,,2.68,,0.64,,,,CCOC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C,"InChI=1S/C18H23NO4/c1-3-22-18(21)16-14-10-9-13(19(14)2)11-15(16)23-17(20)12-7-5-4-6-8-12/h4-8,13-16H,3,9-11H2,1-2H3/p+1/t13-,14+,15-,16?/m0/s1",318.16998466809
