smiles_r,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_mrt,human_thalf,MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,molecular_weight_smiles_r
CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3C=CC4=CC(C(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C,0.54,0.33,0.03,27.0,27.0,399.57,4.0,2.0,66.4,2.0,4.8,2.2,398.27006759191
CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,1.1,2.4,0.095,7.6,6.0,372.54,4.0,2.0,58.2,1.0,3.2,3.2,372.277678392
CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2C[NH+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,3.6,13.0,0.028,4.6,13.0,670.84,11.0,5.0,166.7,12.0,3.6,3.3,671.3915451520899
CC(C)(C)NC(=O)C1C[NH+](Cc2cccnc2)CC[NH+]1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,0.82,18.0,0.36,0.76,1.0,613.79,9.0,4.0,118.0,11.0,3.0,2.9,615.37735788818
CC(C)(C)OC(=O)NC1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)[N-]S(=O)(=O)C2CC2)NC(=O)C2C[C@@H](OC(=O)[NH+]3Cc4cccc(F)c4C3)C[NH+]2C1=O,0.22,11.53,0.02,0.32,1.81,731.83,14.0,3.0,180.5,7.0,4.4,1.4,732.3073037240899
CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1c[n-]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(O)C1CC1,0.77,11.6,0.055812888,1.1,5.2,630.84,10.0,5.0,161.5,17.0,2.0,2.0,629.3378298679102
CC(C)(C)[N+](O)=Cc1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-],0.18,1.35,0.6,2.2,3.6,381.33,8.0,0.0,140.5,3.0,-3.5,-8.5,336.02171736790996
CC(C)(C)[NH2+]CC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,3.3,4.9,0.39,11.0,11.0,363.49,6.0,4.0,82.6,7.0,3.3,1.4,364.25946836809
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CC(O)C(O)C2,1.9,2.9,0.14,11.0,9.2,309.4,5.0,4.0,81.9,5.0,1.1,-0.79,310.20128479608996
CC(C)(C)[NH2+]CC(O)c1cc([O-])cc([O-])c1,1.5,3.4,0.75,7.4,15.0,225.28,4.0,4.0,72.7,3.0,0.93,-0.41,224.12921701591
CC(C)(C)[NH2+]CC(O)c1ccc([O-])c(CO)c1,1.9,7.8,0.92,4.1,2.4,239.31,4.0,4.0,72.7,4.0,0.63,-1.5,239.152143532
CC(C)(C)[NH2+]C[C@@H](O)COc1cccc2c1CCC(=O)N2,,10.1,,,4.7,292.37,5.0,3.0,70.6,5.0,1.3,-0.6,293.18596908009005
CC(C)(C)[NH2+]C[C@H](O)COc1nsnc1N1CCOCC1,1.5,8.5,0.9,3.0,2.2,316.42,7.0,2.0,79.7,6.0,1.4,-0.34,317.16418808009
CC(C)(C)c1[n-]cnc1/C=c1\[n-]c(=O)/c(=C/c2ccccc2)[n-]c1=O,3.0,7.4,,6.7,6.3,336.39,6.0,3.0,94.4,2.0,2.4,-2.8,333.13679652373
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CC[NH2+]CC3)s2)o1,5.14,13.0,,7.13,9.3,380.53,6.0,2.0,80.3,5.0,2.0,0.64,381.14134446009
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,0.65,2.86,0.003,3.8,2.6,519.56,7.0,2.0,110.9,5.0,5.3,5.2,519.1010515400001
CC(C)(F)CC([NH2+][C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,1.63,0.19,,147.3,108.0,525.56,6.0,2.0,99.1,9.0,3.7,3.7,526.17820205609
CC(C)(O)[C@@H]1CC[C@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]5C(C)(C)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)O1,0.12,0.74,0.14,2.78,2.65,784.97,14.0,9.0,228.2,6.0,-0.048,-0.048,784.460906856
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,0.15,0.68,0.002,3.8,5.0,586.18,4.0,2.0,70.4,11.0,8.3,4.8,584.2031662399099
CC(C)(ON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-],0.31,2.4,0.79,2.2,1.8,546.58,13.0,3.0,191.2,9.0,-1.7,-4.1,546.099139044
CC(C)(S)C([NH3+])C(=O)[O-],1.26,10.65,0.12,1.97,3.04,149.21,3.0,2.0,63.3,1.0,-0.16,-1.8,149.051049592
CC(C)([NH3+])CC(=O)NC1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nnn[n-]3)cc2)C1=O,0.2,3.05,0.06,1.1,3.8,509.6,9.0,3.0,129.9,8.0,4.1,1.8,509.2539232320001
CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,0.11,0.09,,20.2,18.5,947.15,18.0,12.0,298.1,13.0,-0.39,-0.39,946.5501157840002
CC(C)=CCC[C@]1(C)C=Cc2c([O-])c3c(c(CC=C(C)C)c2O1)O[C@]12C(=CC4C[C@@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)[O-])C4=O)C3=O,0.99,1.24,,13.3,14.6,628.75,8.0,2.0,119.4,8.0,7.9,4.9,626.28906546382
CC(C)=CC[NH+]1CC[C@]2(C)c3cc([O-])ccc3C[C@H]1C2C,3.4,23.0,0.39,2.5,2.5,285.42,2.0,1.0,23.5,2.0,4.4,2.8,285.209264484
CC(C)=CC[NH+]1Cc2cc(Cl)cc3[n-]c(=S)n(c23)C[C@@H]1C,21.98,10.41,,35.17,25.96,321.87,3.0,1.0,24.0,2.0,5.0,1.7,321.10664632
CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)[O-],1.7,11.0,0.12,2.6,2.0,481.54,9.0,3.0,140.9,10.0,2.0,-1.3,480.1610083839099
CC(C)C(=O)OCC(=O)[C@]12O[C@@H](C3CCCCC3)O[C@@H]1C[C@@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,2.9,33.3,0.01,1.45,1.04,540.69,7.0,1.0,99.1,6.0,4.8,4.8,540.308703748
CC(C)C(NC(=O)C(C(C)C)[NH+](C)C)C(=O)[NH+](C)C(C(=O)[NH+]1CCCC1C(=O)[NH+]1CCCC1C(=O)NC(C)(C)C)C(C)C,0.33,9.6,,0.58,0.57,643.3,11.0,2.0,122.4,11.0,3.5,3.4,610.4759747643601
CC(C)C1C(=O)NC(CCCNC(N)=[NH2+])C(=O)NCC(=O)NC(CC(=O)[O-])C(=O)NC(Cc2ccccc2)C(=O)[NH+]1C,0.26,1.18,,3.67,3.6,588.66,15.0,8.0,235.9,10.0,-1.4,-3.7,589.3092720720899
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)[O-])CC1,0.15,1.8,0.029,1.4,1.5,317.42,4.0,2.0,66.4,6.0,3.8,0.67,316.19181727191
CC(C)C1NC(=O)C(CCCC[NH3+])NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc([O-])cc2)NC(=O)C(NC(=O)C([NH3+])Cc2ccc3ccccc3c2)CSSCC(C(=O)NC(C(N)=O)[C@@H](C)O)NC1=O,0.2,5.7,,0.57,1.03,1096.32,21.0,13.0,355.1,17.0,1.3,-2.3,1096.47430586009
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)C[NH+]1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)[C@@]1(C)CO1,0.13,39.5,0.02,0.05,1.1,719.91,12.0,4.0,158.5,20.0,5.0,4.9,720.43307561609
CC(C)CC1C(=O)[NH+]2CCC[C@H]2[C@]2(O)O[C@@](C)(NC(=O)C3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4[NH+](C)C3)C(=O)[NH+]12,4.02,12.85,,5.01,8.84,549.66,10.0,3.0,118.2,4.0,3.7,3.2,552.3169487042701
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1,10.1,8.7,0.001,19.3,14.9,366.54,3.0,0.0,15.7,10.0,5.4,4.9,367.27439016009004
CC(C)C[C@H](NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,10.0,19.0,0.17,8.8,18.0,384.24,8.0,4.0,124.4,9.0,0.8,0.8,384.19688568000004
CC(C)C[C@H](NC(=O)C(NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O,0.87,0.29,,50.6,42.1,413.28,8.0,5.0,131.8,9.0,1.9,1.9,413.21220139599995
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,3.61,0.5,0.01,119.0,97.0,361.03,6.0,4.0,98.7,7.0,2.2,2.2,360.081492848
CC(C)C[NH+](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,,7.81,0.05,,15.0,547.66,10.0,3.0,140.4,12.0,2.8,2.8,548.2424979760899
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,0.15,0.82,0.006,3.0,1.6,206.28,2.0,1.0,37.3,4.0,3.2,0.34,205.12340336391
CC(C)OC(=O)CCC/C=C/C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,,6.7,0.1,,0.28,432.59,5.0,3.0,87.0,14.0,5.2,5.2,432.2875743799999
CC(C)Oc1ccccc1N1CC[NH+](Cc2cccc(C(=O)[NH+]3CCCCC3)c2)CC1,1.54,6.17,0.011,4.2,4.6,421.58,5.0,0.0,36.0,6.0,4.2,4.0,423.28748026418003
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@@H]([NH2+]CCC[NH2+]CCCC[NH3+])CC[C@]4(C)[C@H]3CC[C@]12C)OS(=O)(=O)[O-],0.23,1.2,,3.2,9.5,627.96,8.0,5.0,133.9,16.0,3.8,0.76,629.47904608418
CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,5.1,31.4,0.95,2.7,1.64,332.46,4.0,1.0,46.5,7.0,-0.72,-0.72,332.22202024009
CC(C)[N@+]1(C)[C@H]2CC[C@H]1C[C@H](OC(=O)C(c1ccccc1)C1CCCC1)C2,1.25,8.41,,2.48,3.3,370.55,3.0,0.0,26.3,6.0,1.6,1.6,370.27405581208995
CC(C)[NH+](CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.52,0.9,0.16,9.6,7.0,339.47,4.0,1.0,59.2,8.0,2.2,-0.11,340.23833900009004
CC(C)[NH+](CC[C@H](c1ccccc1)c1cc(CO)ccc1[O-])C(C)C,2.41,,0.5,,,341.49,3.0,2.0,43.7,8.0,4.1,0.67,341.235479232
CC(C)[NH+]1CCC([NH+](C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,6.6,16.0,0.15,6.9,6.5,370.92,3.0,0.0,23.5,5.0,4.9,3.0,372.19574406818
CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,0.95,2.5,0.94,6.3,6.1,266.34,5.0,3.0,84.6,8.0,0.35,-1.4,267.17031901609
CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1,4.8,3.4,0.4,24.0,17.0,307.43,4.0,2.0,50.7,11.0,2.6,0.81,308.22202024009
CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,2.4,3.7,0.66,11.0,10.0,325.44,5.0,2.0,59.9,12.0,2.2,0.46,326.23258492409
CC(C)[NH2+]CC(O)COc1cccc2[nH]ccc12,1.2,7.7,0.58,2.6,2.2,248.32,4.0,3.0,57.3,6.0,1.8,0.05,249.15975433209
CC(C)[NH2+]CC(O)COc1cccc2ccccc12,3.1,12.0,0.13,4.3,3.4,259.34,3.0,2.0,41.5,6.0,2.7,0.93,260.16450536409
CC(C)[NH2+]CC(O)c1cc([O-])cc([O-])c1,6.03,14.07,0.9,7.14,6.41,211.26,4.0,4.0,72.7,4.0,0.56,-0.66,210.11356695191
CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,1.3,2.0,0.62,11.0,6.3,272.36,5.0,3.0,78.4,6.0,0.43,-1.4,273.12673995209
CC(C)[NH2+]CC(O)c1ccc([O-])c([O-])c1,1.5,56.0,0.71,0.43,0.41,211.26,4.0,4.0,72.7,4.0,0.79,-0.8,210.11356695191
CC(C)[NH2+]C[C@@H](O)COc1cccc2c1N(C(=O)c1cccnc1)CCC2,0.67,3.6,,3.1,12.4,369.46,6.0,2.0,74.7,7.0,1.4,-0.35,370.21251817609
CC(C)[NH2+]C[C@H](O)COc1ccc([O-])cc1,4.28,22.1,,3.23,2.85,225.28,4.0,3.0,61.7,6.0,1.2,-0.55,225.136493468
CC(C)c1cccc(C(C)C)c1[O-],4.7,36.0,0.016,2.2,3.2,178.27,1.0,1.0,20.2,2.0,4.2,4.2,177.12848874391
CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,0.42,16.0,0.0079,0.44,0.7,411.47,5.0,3.0,82.7,8.0,2.9,-0.11,410.17731007991006
CC(C1=C(CC[NH+](C)C)Cc2ccccc21)c1ccccn1,2.16,4.83,,5.98,4.6,292.42,2.0,0.0,16.1,5.0,4.0,2.5,293.20122522009
CC(C1=C(CC[NH+](C)C)Cc2ccccc21)c1cnccn1,1.86,3.4,,10.0,11.0,293.41,3.0,0.0,29.0,5.0,2.9,1.4,294.19647418809
CC(C=Cc1c(C)c(O)c2ccccc2c1O)=CCC[C@H](C)CCC[C@H](C)CCCC(C)C,0.32,1.6,,3.3,7.3,450.7,2.0,0.0,34.1,14.0,9.0,9.0,450.349780712
CC(CC(c1ccccc1)c1ccccc1)[NH2+]C(C)(C)C,5.1,1.1,0.08,81.0,56.0,281.44,1.0,1.0,12.0,5.0,5.0,2.1,282.22162631609
CC(CCc1ccc2c(c1)OCO2)[NH2+]CC(O)c1ccc([O-])c(C(N)=O)c1,7.9,16.0,,8.2,11.0,372.41,7.0,4.0,114.0,8.0,1.7,0.84,372.16852186799997
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc([O-])c(C(N)=O)c1,4.8,23.0,0.5,3.5,4.4,328.41,5.0,4.0,95.6,8.0,1.8,0.97,328.178692628
CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,16.0,16.0,0.051,17.0,23.0,294.43,2.0,0.0,6.5,4.0,4.6,3.1,295.21687528409
CC(CN1c2ccccc2Sc2ccccc21)C[NH+]1CC[NH+](CCOCCO)CC1,4.06,16.27,,4.16,3.11,427.6,5.0,1.0,39.2,9.0,3.8,3.0,429.24390120018
CC(CN1c2ccccc2Sc2ccccc21)[NH+](C)C,14.0,14.0,0.09,17.0,14.0,284.42,2.0,0.0,6.5,3.0,4.2,2.4,285.14199609209004
CC(CS)C(=O)[NH+]1CCCC1C(=O)[O-],0.75,12.0,0.73,1.0,2.0,217.29,4.0,1.0,57.6,3.0,0.97,-2.2,217.07726434
CC(Cc1ccc([O-])cc1)[NH2+]CC(O)c1cc([O-])cc([O-])c1,1.2,29.0,0.53,0.69,0.87,303.35,5.0,5.0,92.9,6.0,1.5,0.7,301.13250524782
CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C([NH3+])Cc1cnc[n-]1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(N)=O,0.42,3.1,,2.45,2.46,873.01,18.0,11.0,300.9,23.0,0.42,-2.4,873.4518539640901
CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,0.28,1.9,1.0,2.5,2.1,777.09,11.0,8.0,188.4,10.0,-2.3,-2.3,776.8541086639999
CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C([NH3+])Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCC[NH3+])C(=O)NC(C(C)O)C(=O)N1,0.19,2.38,0.35,1.3,1.7,1019.24,20.0,13.0,332.2,17.0,-0.38,-3.4,1020.45503321618
CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.59,1.17,,8.39,7.8,238.24,7.0,1.0,82.1,2.0,-0.044,-0.044,238.106590308
CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)[O-],0.19,0.05,0.0036,63.0,48.2,344.75,6.0,1.0,81.5,5.0,4.0,0.79,343.04910812390995
CC(Oc1ccccc1)C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])C(C)(C)S[C@H]12,0.3,4.2,0.25,1.2,0.91,364.42,7.0,2.0,95.9,5.0,2.2,-1.1,364.10929274
CC(S)C(=O)NCC(=O)[O-],1.39,1.48,0.45,15.7,55.0,163.19,4.0,2.0,66.4,3.0,-0.23,-3.6,162.02303769591
CC([NH2+]C(CCc1ccccc1)C(=O)[O-])C(=O)[NH+]1CCCC1C(=O)[O-],0.38,1.6,0.62,4.0,39.0,348.39,7.0,3.0,106.9,8.0,0.73,-3.4,348.1685218679999
CC([NH2+]C(CCc1ccccc1)C(=O)[O-])C(=O)[NH+]1Cc2ccccc2CC1C(=O)[O-],0.13,0.93,0.32,2.3,2.3,410.46,7.0,3.0,106.9,8.0,1.8,-2.4,410.1841719319999
CC([NH2+]Cc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,2.19,1.17,,31.16,21.67,302.34,4.0,2.0,64.3,7.0,1.7,1.1,303.15033252009
CC([NH3+])CCCC(C)(C)O,2.14,10.72,,3.24,2.5,145.24,2.0,2.0,46.3,3.0,1.4,-1.6,146.15394068009
CC(c1ccccn1)c1c(CC[NH+](C)C)sc2ccccc12,1.83,5.31,,6.8,9.1,310.46,2.0,0.0,16.1,5.0,3.8,1.9,311.15764615609004
CC(c1nc(-c2ccc(C#N)cc2)cs1)[C@@](O)(Cn1cncn1)c1cc(F)ccc1F,5.37,0.85,0.01,105.5,86.9,437.47,6.0,1.0,87.6,8.0,4.0,4.0,437.1121876040001
CC(c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,2.2,8.3,0.42,4.4,5.6,349.31,6.0,1.0,76.7,5.0,1.5,1.5,349.115044728
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC(C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)C(OC(C)=O)=C(C1C)C2(C)C)[C@@H](NC(=O)c1ccccc1)c1ccccc1,0.068,0.025,0.0038,45.0,60.0,1164.38,16.0,3.0,227.4,30.0,9.0,9.0,1163.560620892
CC1(C)C(/C=C\C=C\C=C\C=C2/N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,0.035,6.8,0.05,0.086,0.065,752.98,8.0,1.0,117.8,14.0,5.4,3.1,751.28810280391
CC1(C)C(C(=O)[O-])[NH+]2C(=O)CC2S1(=O)=O,0.32,5.1,0.62,1.0,1.1,233.24,6.0,1.0,91.8,1.0,-0.25,-3.7,233.035793452
CC1(C)CC1C(=O)N=C(CCCCCSCC([NH3+])C(=O)[O-])C(=O)[O-],0.15,2.3,0.6,1.1,0.86,358.45,7.0,4.0,129.7,11.0,-0.068,-4.6,357.1489664799099
CC1(C)CC[C@]2(C(=O)[O-])CC[C@]3(COC(=O)C=Cc4cc([O-])ccc4NC(=O)/C=C/C(=O)[O-])C(=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,1.45,7.6,,3.18,,729.9,10.0,4.0,167.3,9.0,6.8,1.7,726.36585298373
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC=C5CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.4,9.4,0.2,2.5,2.4,434.5,6.0,2.0,93.1,2.0,2.3,2.3,434.2104669319999
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.08,9.5,0.24,1.89,1.68,434.5,6.0,2.0,93.1,2.0,2.5,2.5,434.2104669319999
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,0.8,0.27,0.72,48.7,34.8,339.36,9.0,1.0,115.5,3.0,0.47,0.44,339.098787632
CC1(C)SC2C(NC(=O)C(NC(=O)c3cnc4cccnc4c3[O-])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.16,1.9,0.1,1.4,1.2,521.55,11.0,4.0,161.8,8.0,1.8,-1.6,520.1296280039099
CC1(C)S[C@@H]2C(/[NH+]=C/N3CCCCCC3)C(=O)[NH+]2C1C(=O)[O-],0.37,6.3,0.9,1.0,1.1,325.43,6.0,1.0,73.2,3.0,2.4,0.068,326.1532890480899
CC1(C)S[C@@H]2C(NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.17,1.9,0.52,1.5,1.1,378.4,8.0,3.0,124.0,5.0,1.2,-5.4,377.08128084391
CC1(C)S[C@@H]2C(NC(=O)C(C(=O)[O-])c3ccsc3)C(=O)[NH+]2C1C(=O)[O-],0.16,1.8,0.55,1.5,1.0,384.43,8.0,3.0,124.0,5.0,0.88,-5.7,383.03770177991
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)NC(N)=[NH2+])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.24,1.6,0.8,2.5,2.09,434.47,11.0,6.0,177.7,6.0,0.061,-2.3,435.14451525608996
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)[NH+]3CCNC3=O)c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.26,2.5,0.65,1.7,1.2,461.49,11.0,4.0,148.1,5.0,0.84,-2.5,462.14418090808994
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)[NH+]3CC[NH+](/N=C/c4ccco4)C3=O)c3ccc([O-])cc3)C(=O)[NH+]2C1C(=O)[O-],0.2,3.61,,0.92,1.3,570.57,14.0,4.0,185.4,7.0,1.4,-2.0,571.1605592440899
CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)[NH+]3CC[NH+](S(C)(=O)=O)C3=O)c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.09,2.1,0.7,0.71,1.2,539.58,13.0,3.0,173.5,6.0,1.0,-2.3,541.1290076641798
CC1(C)S[C@@H]2C(NC(=O)C([NH3+])c3ccc([O-])cc3)C(=O)[NH+]2C1C(=O)[O-],0.25,3.3,0.85,1.3,1.1,365.4,8.0,4.0,133.0,4.0,0.42,-1.3,365.104541708
CC1(C)S[C@@H]2C(NC(=O)C([NH3+])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.22,2.8,0.85,1.3,1.4,349.4,7.0,3.0,112.7,4.0,0.85,-0.85,350.11690354008994
CC1(C)S[C@@H]2C(NC(=O)C(c3ccccc3)S(=O)(=O)[O-])C(=O)[NH+]2C1C(=O)[O-],0.15,1.6,0.5,1.6,1.2,414.45,9.0,3.0,141.1,5.0,0.59,-4.7,413.0482664639099
CC1(C)S[C@@H]2C(NC(=O)COc3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.41,6.8,0.45,1.0,0.84,350.39,7.0,2.0,95.9,5.0,1.9,-1.4,350.09364267599994
CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)[NH+]2C1C(=O)[O-],0.24,6.9,0.4,0.58,0.7,334.39,6.0,2.0,86.7,4.0,2.0,-1.3,334.09872805599997
CC1(C)[C@@H](O[C@H]2OC(C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O[C@@H]2OC(C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)C3C(=O)C=C4C5C[C@@](C)(C(=O)[O-])CC[C@]5(C)CC[C@]4(C)[C@@]3(C)CC[C@@H]12,0.06,0.13,,7.83,8.83,822.93,16.0,8.0,267.0,7.0,1.5,-7.5,819.3819565477299
CC1(C)[C@H]2CC[C@@]3(C)C(C(=O)C=C4C5C[C@](C)(C(=O)[O-])CC[C@@]5(C)CC[C@@]43C)[C@]2(C)CC[C@H]1O[C@H]1OC(C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O[C@@H]1OC(C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O,0.09,0.05,,30.9,23.1,822.93,16.0,8.0,267.0,15.0,1.5,-7.5,819.3819565477302
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])C3=CCC=CC3)[C@H]2SC1,0.21,3.3,0.95,1.1,0.85,349.4,7.0,3.0,112.7,4.0,0.48,-2.0,350.11690354009
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccc([O-])cc3)[C@H]2SC1,0.23,2.5,0.39,1.5,1.1,363.39,8.0,4.0,133.0,4.0,-0.7,-2.1,363.088891644
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccccc3)[C@H]2SC1,0.21,3.9,0.85,0.89,0.57,347.39,7.0,3.0,112.7,4.0,-0.27,-1.6,348.10125347609
CC1=C(CO)C2=C(C)C3(CC3)[C@@](C)(O)C(=O)C2=C1,3.1,140.0,,0.4,0.3,246.3,3.0,2.0,57.5,1.0,1.4,1.4,246.125594436
CC1=C2CC(=O)C=C[C@]2(C)[C@@H]2[C@@H](C1)[C@@H]1CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@@H]2O,1.2,6.1,0.23,3.5,2.3,374.47,5.0,3.0,94.8,2.0,2.0,2.0,374.2093240599999
CC1=CC[C@@H](C(C)(C)O)C[C@@H]1O,0.43,2.7,,3.1,1.9,170.25,2.0,2.0,40.5,0.0,1.3,1.3,170.130679816
